"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","임산부정원수","영유아정원수","임산부실면적","영유아실면적","모유수유실면적","급식시설면적","세탁실면적","목욕실면적","조리원화장실면적","사무실면적","간호사수","간호조무사수","영양사수","취사부수","미화원수","기타인원수","건물층수","지상층수","지하층수",
"761","산후조리업","01_01_04_P","5670000","PHMB120085280165042100001","2009-09-01","","01","영업/정상","13","영업중","","","","","249-0593","","631-460","경상남도 마산시 동성동 248번지 1호 2통 1반","경상남도 창원시 마산합포구 불종거리로 19 (동성동)","51729","참여성병원산후조리원","2016-01-05 09:50:10","I","2021-07-02 00:23:01","","343480.559682553","190796.068354329","13","13","261.3","","14.4","","","","25.52","16.7","3","5","","1","","","9","5","",
"762","산후조리업","01_01_04_P","5670000","PHMB120095270048042100002","2009-04-14","","01","영업/정상","13","영업중","","2022-04-06","2022-08-31","","282-1600","","","경상남도 창원시 성산구 상남동 27-2 모란여성병원","경상남도 창원시 성산구 마디미서로 56, 모란여성병원 8.9층 (상남동)","51503","모란산후조리원","2023-06-08 17:18:59","U","2023-06-10 02:40:00","","352950.105548838","192556.575592881","14","14","462.03","51","55.6","0","6.3","0","0","15","2","8","0","0","2","3","11","9","0",
"763","산후조리업","01_01_04_P","5670000","PHMB120105270048042100001","2010-05-14","","01","영업/정상","13","영업중","","2023-06-09","2023-06-15","","055-286-3575","","","경상남도 창원시 성산구 상남동 73-3 서울메디컬센터","경상남도 창원시 성산구 상남로 73, 서울메디컬센터 3층 (상남동)","51504","마미캠프산후조리원","2023-06-14 15:32:00","U","2023-06-16 02:40:00","","352858.419158562","192567.039930214","22","22","377.98","37.6","16.25","73.08","10.52","0","12.53","9.26","3","9","0","2","2","0","11","10","1",
"764","산후조리업","01_01_04_P","3740000","PHMB120123740106042100001","2012-05-30","","01","영업/정상","13","영업중","","2022-12-11","2023-01-19","","031-206-7500","","443-810","경기도 수원시 영통구 영통2동 959번지 1호 모던타운 8층","경기도 수원시 영통구 봉영로 1605 (영통동)","16703","시온산후조리원","2023-01-06 15:23:23","U","2023-01-08 02:40:00","","206445.901789232","416957.536591546","30","30","574.44","56.8","14.4","72.5","16.7","0","5.7","7.6","3","6","0","2","1","3","11","8","3",
"765","산후조리업","01_01_04_P","3740000","PHMB120133740032042100001","2013-07-16","","01","영업/정상","13","영업중","","2017-06-27","2017-06-30","","236-2000","","441-886","경기도 수원시 권선구 권선동 1311번지 1호","경기도 수원시 권선구 동수원로 220 (권선동)","16554","에덴메디여성병원 산후조리원","2023-07-03 14:43:09","U","2023-07-05 02:40:00","","202946.073903066","416380.474855003","16","18","269","36","18","47","9","2.7","8","9","4","8","1","6","2","0","8","6","2",
"766","산후조리업","01_01_04_P","3740000","PHMB120133740106042100001","2013-01-09","","01","영업/정상","13","영업중","","2021-07-24","2021-08-31","","031-548-2020","","443-822","경기도 수원시 영통구 원천동 96번지 7호","경기도 수원시 영통구 중부대로 333 (원천동)","16518","연세산후조리원","2021-12-15 11:13:39","U","2021-12-17 02:40:00","","204554.433104162","419069.802112204","20","20","307.88","36.42","10.04","16.15","10.88","0","0","0","3","3","0","1","0","1","6","5","1",
"767","산후조리업","01_01_04_P","3740000","PHMB120143740032042100001","2014-12-29","","01","영업/정상","13","영업중","","","","","","","","","경기도 수원시 권선구 서부로1596번길 10 (고색동)","16625","주식회사 루시아산후조리원","2014-12-30 11:05:48","I","2020-08-05 00:23:26","","197848.377801612","416619.9512244","15","15","311.46","30.84","18.54","54.58","7.61","25.74","50.57","16.49","3","6","","3","2","","8","67","",
"768","산후조리업","01_01_04_P","3740000","PHMB120153740106042100001","2015-08-11","","01","영업/정상","13","영업중","","","","","031-204-9700","","","경기도 수원시 영통구 영통동 1011번지 5호","경기도 수원시 영통구 청명남로34번길 21, 6층 (영통동, 테라스가든)","16705","샤론산후조리원","2018-12-31 13:10:52","I","2020-08-05 00:23:26","","206736.092058135","416711.912393679","21","21","18","45.25","12","16","9.4","","3.32","7.28","1","6","0","3","1","1","6","6","0",
"769","산후조리업","01_01_04_P","3740000","PHMB120163740032042100001","2016-07-19","","01","영업/정상","13","영업중","","","","","031-289-3056","","","경기도 수원시 권선구 금곡동 1109번지 2호","경기도 수원시 권선구 금곡로197번길 70 (금곡동)","16391","세인트마리 여성병원 산후조리원","2016-07-20 13:43:38","I","2020-08-05 00:23:26","","195844.305785948","419278.090017568","25","25","458","54","6","46","24","3","3","11","3","14","0","0","0","0","3","3","0",
"770","산후조리업","01_01_04_P","3740000","PHMB120163740106042100001","2016-11-15","","01","영업/정상","13","영업중","","","","","031-215-7347","","","경기도 수원시 영통구 이의동 1221번지 3호","경기도 수원시 영통구 웰빙타운로36번길 46-229 (이의동)","16223","(주)네이처스 품 산후조리원","2016-11-16 09:41:57","I","2020-08-05 00:23:26","","204830.331824811","423376.874392695","16","16","528","65.5","14","58","10","14","7","20.16","2","3","","","","","4","3","1",
"771","산후조리업","01_01_04_P","3860000","PHMB120123860272042100001","2012-11-05","","01","영업/정상","13","영업중","","","","","032-324-3393","","420-849","경기도 부천시 중동 1056-3번지 동현빌딩 5,6층","경기도 부천시 길주로 251 (중동)","14539","주식회사 더홈 산후조리원","2015-01-23 14:30:08","I","2018-08-31 23:59:59","","179642.649826485","444699.219834258","18","18","406.1","50.2","5.4","88","","","","","3","7","","2","1","1","5","5","",
"772","산후조리업","01_01_04_P","3740000","PHMB120073740106042100001","2007-10-08","","01","영업/정상","13","영업중","","2022-05-03","2022-07-02","","031-307-1800","","443-814","경기도 수원시 영통구 영통1동 1009번지 6호","경기도 수원시 영통구 반달로 21, 6층 (영통동, 매직플라자)","16705","오늘산후조리원","2022-12-23 17:16:56","U","2022-12-25 02:40:00","","206587.578367614","416636.096058449","25","25","412","49.5","19.8","33","13.2","19.8","6.6","8.25","2","4","0","1","0","0","8","6","0",
"773","산후조리업","01_01_04_P","3740000","PHMB120063740031042100001","2006-12-05","","01","영업/정상","13","영업중","","","","","269-8833","","440-330","경기도 수원시 장안구 천천동 528번지 2호","경기도 수원시 장안구 만석로5번길 12-10 (천천동)","16329","베스트산후조리원","2008-12-22 15:17:26","I","2020-08-05 00:23:26","","198435.084651441","421489.950355042","8","0","19.8","0","","","","","","","2","3","","","2","","8","4","",
"774","산후조리업","01_01_04_P","3740000","PHMB120063740031042100002","2006-10-16","","01","영업/정상","13","영업중","","","","","248-8100","","440-848","경기도 수원시장안구 조원동 762번지 17호","경기도 수원시 장안구 경수대로 892 (조원동)","","우먼플러스산후조리원","2020-12-18 17:11:54","U","2020-12-20 02:40:00","","200984.230400931","421989.543787374","21","21","21.21","2","15.84","","7.83","5.4","","8.99","3","9","","","1","","","","",
"775","산후조리업","01_01_04_P","3740000","PHMB120063740106042100002","2006-11-29","","01","영업/정상","13","영업중","","2021-11-10","2021-11-25","","206-3588","","443-814","경기도 수원시 영통구 영통1동 998번지 4호","경기도 수원시 영통구 반달로7번길 16 (영통동)","","조이풀산후조리원","2021-11-30 11:40:49","U","2021-12-02 02:40:00","","206527.053165779","416748.278403711","22","22","360","31","9","12","4","0","64","9","3","2","0","2","1","0","4","4","0",
"776","산후조리업","01_01_04_P","3740000","PHMB120063740106042100003","2006-12-08","","01","영업/정상","13","영업중","","2015-12-02","2015-12-31","","031-273-0051","","443-814","경기도 수원시 영통구 영통1동 998번지 1호","경기도 수원시 영통구 반달로7번길 40 (영통동)","","(주) 미소산후조리원","2023-04-12 11:04:12","U","2023-04-15 02:40:00","","206601.388421815","416845.635479142","15","15","235.19","51","0","0","0","0","0","0","3","8","0","0","0","5","5","5","0",
"777","산후조리업","01_01_04_P","3860000","PHMB120023860246042100001","2006-12-08","","01","영업/정상","13","영업중","","","","","","","420-020","경기도 부천시 중동 1151-6번지","경기도 부천시 중동로248번길 19 (중동)","14548","주식회사 초앤유 산후조리원","2012-10-26 10:39:12","I","2018-08-31 23:59:59","","179572.165142814","444434.014945418","15","15","","","","","","","","","","","","","","","0","","",
"778","산후조리업","01_01_04_P","3860000","PHMB120033860246042100001","2003-08-26","","01","영업/정상","13","영업중","","","","","032-665-0070","","420-111","경기도 부천시 원미동 111-3번지","경기도 부천시 부천로 110-1  (원미동)","","친정 산후조리원","2019-03-11 15:08:12","U","2019-03-13 02:40:00","","180951.8060384","443561.2078943","11","11","95","9.9","","","4.5","6","7.4","","","","","","","","8","1","",
"779","산후조리업","01_01_04_P","3860000","PHMB120063860246042100001","2005-09-16","","01","영업/정상","13","영업중","","","","","032-230-7200","","","경기도 부천시 상동 544번지 2호 서울여성병원","경기도 부천시 길주로 84, 서울여성병원 9,10층 (상동)","14544","(주)서울여성 산후조리원","2020-05-07 11:05:50","U","2020-05-09 02:40:00","","177965.74893568","444810.505135876","42","42","1462","127","57","","47","","9","24","6","17","","","","11","0","","",
"780","산후조리업","01_01_04_P","3860000","PHMB120063860246042100002","2006-03-17","","01","영업/정상","13","영업중","","","","","","","420-020","경기도 부천시 중동 1123-4번지","경기도 부천시 부흥로307번길 23 (중동)","","삼성미래 산후조리원","2014-09-30 17:14:22","I","2018-08-31 23:59:59","","180162.176197078","443722.116843766","24","24","","","","","","","","","","","","","","","0","","",
"781","산후조리업","01_01_04_P","3940000","PHMB120153940139042100001","2015-05-04","","01","영업/정상","13","영업중","","","","","","","410-821","경기도 고양시 일산동구 식사동 1588번지 동국타워 2층","경기도 고양시 일산동구 위시티로 18 (식사동)","10324","퀸스파크산후조리원","2023-07-14 14:03:33","U","2023-07-16 02:40:00","","182952.408473266","463589.642342925","13","13","280","34.42","0","38.26","13.18","0","0","21.95","4","11","0","2","2","0","10","8","2",
"782","산후조리업","01_01_04_P","3940000","PHMB120123940138042100002","2012-07-18","","01","영업/정상","13","영업중","","","","","031-970-3335","","412-222","경기도 고양시 덕양구 행신2동 762번지 4호","경기도 고양시 덕양구 충장로 2, 8층 (행신동)","10526","(주)세인트누보산후조리원","2022-09-16 11:31:33","U","2022-09-18 02:40:00","","185316.820909981","456779.865026741","18","19","353.8","33.2","7","43.4","0","7.2","16.2","12.7","4","4","0","2","1","1","10","8","2",
"783","산후조리업","01_01_04_P","3940000","PHMB120063940139042100001","2006-12-07","","01","영업/정상","13","영업중","","","","","031-810-9877","","","경기도 고양시 일산동구 장항동 780번지 일산복합빌딩 6,7층","경기도 고양시 일산동구 중앙로 1317, 6,7층 (장항동, 일산복합빌딩)","10401","유재산후조리원","2023-07-14 14:07:55","U","2023-07-16 02:40:00","","179633.315549362","462306.038542828","36","28","650.07","78.9","0","0","8.48","0","0","0","5","15","0","0","0","3","11","8","3",
"784","산후조리업","01_01_04_P","3940000","PHMB120143940138042100001","2014-01-20","","01","영업/정상","13","영업중","","","","","819-1000","","","","경기도 고양시 덕양구 화중로 72, 6층 (화정동, 케이탑리츠 화정빌딩)","10500","더플라워 산후조리원 일산점","2021-02-17 17:01:53","U","2021-02-19 02:40:00","","185018.102829856","459044.338049136","21","21","518.48","52.15","","20.81","15.68","","3.6","22.09","3","6","","2","2","","10","6","4",
"785","산후조리업","01_01_04_P","3940000","PHMB120143940139042100001","2014-07-10","","01","영업/정상","13","영업중","","","","","031-901-4000","","","","경기도 고양시 일산동구 중앙로 1071 (백석동)","410-817","그레이스산후조리원","2023-07-14 14:01:58","U","2023-07-16 02:40:00","","","","23","23","401.94","59.79","53.96","24.08","0","9.02","88.8","46.59","5","20","0","0","2","1","12","9","3",
"786","산후조리업","01_01_04_P","3940000","PHMB120073940139042100002","2007-03-06","","01","영업/정상","13","영업중","","","","","031-908-6020","","","경기도 고양시 일산동구 백석동 1294번지 1호","경기도 고양시 일산동구 중앙로 1072, 301,302호 (백석동)","10447","킹덤 산후조리원","2023-07-14 14:01:25","U","2023-07-16 02:40:00","","181037.389729529","460324.601611181","13","16","276.96","33.16","43.36","47.4","14.85","58.9","45.6","21.6","3","7","0","2","1","1","12","10","2",
"787","산후조리업","01_01_04_P","3940000","PHMB120063940138042100002","2006-12-15","","01","영업/정상","13","영업중","","2018-06-25","2018-09-30","","938-3038","","","경기도 고양시 덕양구 행신동 948번지 신일빌딩","경기도 고양시 덕양구 중앙로558번길 16-6, 4층 (행신동)","10495","이자르산후조리원일산점","2020-02-17 14:15:36","U","2020-02-19 02:40:00","","185465.917524861","457975.497735052","17","17","151.61","29.92","","34.56","10.5","34","","","5","8","1","1","","","7","4","",
"788","산후조리업","01_01_04_P","3940000","PHMB120113940140042100001","2019-10-14","","01","영업/정상","13","영업중","","","","","911-0704","","","경기도 고양시 일산서구 주엽동 110번지 2호 가람상가","경기도 고양시 일산서구 중앙로 1443, 가람상가 5층 (주엽동)","10387","사랑애산후조리원","2023-05-22 15:26:52","U","2023-05-24 02:40:00","","178734.035214849","463140.211764088","19","19","332","41.14","0","16.22","8.19","2.4","7.06","15.2","3","6","0","3","1","0","0","0","0",
"789","산후조리업","01_01_04_P","3940000","PHMB120073940140042100001","2006-04-27","","01","영업/정상","13","영업중","","","","","916-9410","","411-450","경기도 고양시 일산서구 덕이동 219번지 45호","경기도 고양시 일산서구 덕이로 8 (덕이동)","10237","아이산산후조리원","2019-08-09 11:18:34","U","2019-08-11 02:40:00","","178619.262400502","465301.400294253","15","15","15.43","26","","","","","","5","3","12","1","2","","3","0","","",
"790","산후조리업","01_01_04_P","4020000","PHMB120114020028042100001","2011-03-02","","01","영업/정상","13","영업중","","","","","031-390-1900","","","","경기도 군포시 산본로386번길 4-19 (산본동)","15818","산본제일병원 부설 신산본산후조리원","2022-07-22 15:48:20","U","2022-07-24 02:40:00","","193825.45375051","429106.10111935","22","22","480.78","43","18.15","75.92","17.74","0","82.78","9.72","3","11","1","3","3","1","5","4","1",
"791","산후조리업","01_01_04_P","4020000","PHMB120064020028042100001","2017-05-16","","01","영업/정상","13","영업중","","","","","031-398-0721","","435-045","경기도 군포시 광정동 1099-2번지 대림프라자 403호","경기도 군포시 산본로 394 (산본동)","15818","베네라산후조리원","2023-09-25 11:45:16","U","2023-09-27 02:40:00","","193696.742392293","429245.936418065","14","14","273.7","25.4","5.6","32.6","6.1","0","0","14.6","3","9","1","2","1","0","0","0","0",
"792","산후조리업","01_01_04_P","4020000","PHMB120064020028042100002","2006-12-08","","01","영업/정상","13","영업중","","2017-02-04","2017-02-17","","031-390-3790","","","경기도 군포시 산본동 1095-1 산본제일전문진료센터","경기도 군포시 산본로386번길 4-11, 산본제일전문진료센터 4,5층 (산본동)","15818","제일산후조리원","2022-07-22 16:14:53","U","2022-07-24 02:40:00","","193796.901069837","429148.884337732","22","22","0","39.9","0","0","0","0","0","0","4","11","1","4","3","0","7","5","2",
"793","산후조리업","01_01_04_P","4020000","PHMB120134020028042100001","2013-07-31","","01","영업/정상","13","영업중","","","","","031-399-6522","","435-802","경기도 군포시 광정동 1099번지 1호 태주빌딩7층,8층","경기도 군포시 산본로 398 (산본동,태주빌딩7층,8층)","","맘스포레 산후조리원","2020-07-17 15:04:30","U","2020-07-19 02:40:00","","193678.70297446","429272.847720523","20","20","175","37.56","12.72","55.22","11.32","3.4","7.23","9.5","4","10","","2","1","","0","","",
"794","산후조리업","01_01_04_P","3900000","PHMB120133900028042100001","2013-10-25","","01","영업/정상","13","영업중","","","","","02-6218-1010","","","경기도 광명시 소하동 1337번지 1호","경기도 광명시 소하로109번길 22, 3~4층 (소하동)","14316","레지나 산후조리원","2022-05-30 14:44:57","U","2022-06-01 02:40:00","","189797.452497631","438409.859447501","17","17","440.5","39.25","0","17.1","16.3","0","0","9.3","3","6","0","2","1","0","2","2","0",
"795","산후조리업","01_01_04_P","3900000","PHMB120143900028042100001","2014-02-04","","01","영업/정상","13","영업중","","","","","02-807-1002","","","","경기도 광명시 범안로 1062, 8~9층 (하안동)","14306","미래여성산후조리원","2021-03-18 09:42:59","U","2021-03-20 02:40:00","","189378.841481075","440070.694949298","15","15","163.6","26.98","","","","","43.45","4.98","3","8","","","1","1","10","9","1",
"796","산후조리업","01_01_04_P","3900000","PHMB120083900028042100001","2008-07-30","","01","영업/정상","13","영업중","","2023-07-26","2023-08-24","","2686-5800","","423-807","경기도 광명시 광명3동 158번지 81호 , 현대아이타워 9층.","경기도 광명시 광명로 906 (광명동, 현대아이타워 9층)","14220","아베끄산후조리원","2023-08-14 16:11:59","U","2023-08-17 02:40:00","","187095.746949769","441959.821866614","13","13","120","22.7","8.3","33.4","8.1","48.68","43.7","6","3","6","0","2","1","0","0","0","0",
"797","산후조리업","01_01_04_P","3900000","PHMB120113900028042100003","2011-11-04","","01","영업/정상","13","영업중","","","","","02-898-0898","","423-051","경기도 광명시 소하1동 1341번지 , 신성프라자 4층","경기도 광명시 소하로 78, 4층 (소하동, 신성프라자)","14316","광명제일산후조리원 소하점","2016-09-19 17:11:44","I","2018-08-31 23:59:59","","189608.113713218","438424.748217191","14","14","275.82","30.72","18","10","19.27","","2.8","7.5","2","6","","2","1","","8","8","",
"798","산후조리업","01_01_04_P","3900000","PHMB120073900028042100002","2007-02-12","","01","영업/정상","13","영업중","","","","","02-2066-3555","","423-840","경기도 광명시 철산4동 467번지 484호 , 7,8층.","경기도 광명시 오리로 889 (철산동, 대륭빌딩 7,8층)","14250","이즈맘산후조리원","2019-02-11 16:56:25","U","2019-02-13 02:40:00","","187874.795197866","441579.205140986","17","17","430.94","34.77","13.68","81.82","8.91","","","13.69","4","6","","1","2","","0","","",
"799","산후조리업","01_01_04_P","3160000","PHMB119863160034042100001","1986-12-17","","01","영업/정상","13","영업중","","","","","854-0818","","","서울특별시 구로구 구로동 806번지 60호","서울특별시 구로구 구로동로8길 18 (구로동)","08320","김삼순조산원","2015-11-23 11:55:16","I","2018-08-31 23:59:59","","189870.090913804","442718.798953016","2","2","","","","","","","","","","","","","","","","","",
"800","산후조리업","01_01_04_P","3160000","PHMB120123160034042100001","2012-08-02","","01","영업/정상","13","영업중","","2023-04-08","2023-04-13","","2682-2400","","","서울특별시 구로구 오류동 159번지 삼성미래여성병원","서울특별시 구로구 서해안로 2296, 삼성미래여성병원 오류동 3~6층 (오류동)","08342","미래 산후조리원","2023-04-14 14:00:24","U","2023-04-16 02:40:00","","185818.005782408","443237.927427791","18","18","133","22.41","11.85","31.32","8","0","0","19.36","4","10","0","1","2","0","0","0","0",
"801","산후조리업","01_01_04_P","3160000","PHMB120123160034042100002","2012-12-05","","01","영업/정상","13","영업중","","","","","02-2688-6200","","","","서울특별시 구로구 천왕로 106, 5층 (오류동)","08365","로얄사임당 산후조리원 천왕점","2018-09-11 09:59:52","U","2018-09-11 23:59:59","","185651.200187402","442660.967785404","13","13","191.68","24.19","0","8","5.7","","","","3","5","","1","","1","5","5","",
"802","산후조리업","01_01_04_P","3160000","PHMB120133160034042100001","2013-10-07","","01","영업/정상","13","영업중","","","","","028559911","","","서울특별시 구로구 구로동 25번지","서울특별시 구로구 새말로 94, 7~8층 (구로동)","08289","아름제일 산후조리원 1관","2020-04-16 17:34:46","U","2020-04-18 02:40:00","","190244.829015482","444811.238193821","14","14","266.47","27.42","","59.15","2.95","","8.95","12.21","3","9","0","3","","","0","5","",
"803","산후조리업","01_01_04_P","3160000","PHMB120143160034042100001","2014-04-22","","01","영업/정상","13","영업중","","","","","02-2611-7322","","","","서울특별시 구로구 경인로 240, 2층 (오류동)","08270","맘스퀘어 산후조리원","2023-02-09 14:11:55","U","2023-05-26 08:48:36","","186433.563471491","443918.187210602","18","18","225.55","49.36","7.56","19.34","14.36","26.5","26.5","8.94","3","7","0","2","2","2","0","0","0",
"804","산후조리업","01_01_04_P","3160000","PHMB120143160034042100002","2014-06-11","","01","영업/정상","13","영업중","","2023-06-01","2023-07-31","","02-2636-3210","","","","서울특별시 구로구 중앙로 100 (고척동, 6,7층)","08218","연세사랑모아여성병원부설산후조리원","2023-07-05 14:48:08","U","2023-07-07 02:40:00","","187606.693801873","444911.925277155","18","18","400.9","65.1","11.16","114.38","10.12","0","0","40.53","4","9","1","0","3","0","0","0","0",
"805","산후조리업","01_01_04_P","3160000","PHMB120153160034042100001","2015-07-23","","01","영업/정상","13","영업중","","","","","02-2060-9315","","","","서울특별시 구로구 경인로 322, 3~4층 (개봉동, 민전산부인과)","08274","민전 산후조리원","2021-02-16 17:56:27","U","2021-02-18 02:40:00","","187190.111430769","443880.346195961","16","16","232","32.4","","30","23","3.1","","","3","4","","2","1","1","3","3","",
"806","산후조리업","01_01_04_P","3040000","PHMB120013040033042100001","2001-05-11","","01","영업/정상","13","영업중","","","","","02-447-0065","","143-862","서울특별시 광진구 자양동 553번지 15호 3층","서울특별시 광진구 뚝섬로 503, 3층 (자양동)","05076","광진아기맘미소산후조리원","2020-09-18 17:55:35","U","2020-09-25 02:40:00","","205788.332713562","448212.127193771","10","10","399.1","34.56","","","12.67","","","","5","7","","2","1","","4","3","1",
"807","산후조리업","01_01_04_P","3040000","PHMB120073040033042100001","2007-06-20","","01","영업/정상","13","영업중","","","","","02-457-6020","","143-959","서울특별시 광진구 구의동 223번지 65호","서울특별시 광진구 구의로 28 (구의동)","","예그리나 산후조리원","2022-10-26 13:28:45","U","2022-10-28 02:40:00","","207866.804668978","448680.644700444","16","16","139.94","35.72","0","38.37","110.63","8.79","33.73","6.19","3","4","0","2","1","0","6","5","1",
"808","산후조리업","01_01_04_P","3040000","PHMB120143040033042100001","2014-02-24","","01","영업/정상","13","영업중","","","","","02-2083-0640","","143-824","서울특별시 광진구 구의동 234번지 25호","서울특별시 광진구 자양로 192 (구의동)","05031","(주)궁 산후조리원 구의점","2015-03-31 10:59:51","I","2018-08-31 23:59:59","","207472.04483471","449142.687542642","22","22","478.91","53.83","0","44.34","15.94","0","12.19","24.1","3","6","1","4","4","2","6","5","1",
"809","산후조리업","01_01_04_P","3050000","PHMB120143050034042100001","2014-10-01","","01","영업/정상","13","영업중","","","","","1599-3270","","130-883","서울특별시 동대문구 답십리동 94번지 9호","서울특별시 동대문구 전농로 102, 4층 (답십리동)","02538","마드레산후조리원","2019-03-05 17:35:34","U","2019-03-07 02:40:00","","205049.095910832","452418.270436454","18","18","341.48","40.9","","16.43","5","36","36","7.43","4","4","","2","2","1","4","4","",
"810","산후조리업","01_01_04_P","3090000","PHMB120123090033042100001","2012-05-02","","01","영업/정상","13","영업중","","","","","02-903-0033","","132-893","서울특별시 도봉구 쌍문2동 653번지 7층","서울특별시 도봉구 도봉로 575, 7층 (쌍문동)","01432","소중한맘산후조리원","2021-09-16 20:13:06","U","2021-09-18 02:40:00","","203348.210556651","461557.310544671","19","19","318","40","8.3","40","6.3","0","2.86","15.18","2","2","0","1","1","0","7","7","0",
"811","산후조리업","01_01_04_P","3170000","PHMB120143170035042100001","2014-09-12","","01","영업/정상","13","영업중","","","","","02-2109-3003","","153-812","서울특별시 금천구 독산동 288번지 3호","서울특별시 금천구 시흥대로 415, 4~5층 (독산동, DDS빌딩)","08523","M.J 산후조리원","2016-12-05 16:52:39","I","2018-08-31 23:59:59","","190877.9899453","440964.438480712","24","24","412.66","87.21","14.13","15.53","13.5","40.8","40.8","11.04","3","9","","3","1","1","0","","",
"812","산후조리업","01_01_04_P","3090000","PHMB120123090033042100002","2012-11-29","","01","영업/정상","13","영업중","","","","","029934300","","","","서울특별시 도봉구 해등로 125 (창동)","01426","마미캠프산후조리원","2023-09-12 09:26:17","U","2023-09-14 02:40:00","","203500.539601657","461375.864695799","15","15","237","32","6.8","38.5","7.1","20","25","7.9","3","7","0","2","1","2","2","2","0",
"813","산후조리업","01_01_04_P","3050000","PHMB120163050034042100002","2016-11-10","","01","영업/정상","13","영업중","","","","","02-2212-2582","","","서울특별시 동대문구 답십리동 492번지 2호 9층","서울특별시 동대문구 천호대로 317, 9층 (답십리동, 하늘병원)","02622","블리스산후조리원","2023-05-08 17:21:11","U","2023-05-10 02:40:00","","204831.461305899","451444.505952989","17","19","353.43","46.48","13.2","17.16","6.8","15","5.16","19.8","4","3","0","2","1","1","9","9","0",
"814","산후조리업","01_01_04_P","3080000","PHMB120073080033042100003","2007-11-20","","01","영업/정상","13","영업중","","","","","996-1511","","","서울특별시 강북구 미아동 322번지 5호","서울특별시 강북구 도봉로 131 (미아동)","01177","햇빛병원부설 햇빛산후조리원","2016-04-22 13:49:40","I","2018-08-31 23:59:59","","202407.498009939","457584.368112559","39","39","723.33","127.06","","48.12","28.12","","24.58","14.62","6","14","1","3","3","","8","6","2",
"815","산후조리업","01_01_04_P","3080000","PHMB120073080033042100004","2007-12-12","","01","영업/정상","13","영업중","","","","","02-985-3542","","","서울특별시 강북구 미아동 131번지 30호","서울특별시 강북구 도봉로 136, 7층 (미아동, 풍양회관)","01161","맘스텔라산후조리원","2019-04-08 13:44:21","U","2019-04-10 02:40:00","","202465.042504763","457640.23984676","18","18","209.36","32.8","","39.32","12.72","","42.96","12.72","3","8","","2","1","","13","7","",
"816","산후조리업","01_01_04_P","3240000","PHMB120073240033042100001","2007-05-23","","01","영업/정상","13","영업중","","","","","02) 472-6565","","","서울특별시 강동구 길동 416-6 우주빌딩","서울특별시 강동구 성안로 156, 우주빌딩 4층 (길동)","05354","예그리나 산후조리원","2023-09-26 17:03:16","U","2023-09-29 02:40:00","","211901.245613315","448311.195671788","17","17","200.6","29.4","5.2","3.45","11.2","2.9","11.2","9.1","2","4","0","1","1","0","14","11","3",
"817","산후조리업","01_01_04_P","3240000","PHMB120113240033042100001","2018-11-01","","01","영업/정상","13","영업중","","","","","02-486-3300","","","","서울특별시 강동구 강동대로 143-64, 태창타워 (성내동)","05398","트리니티산후조리원 강동송파점","2020-12-07 17:56:05","U","2020-12-09 02:40:00","","210558.095600946","447311.900335116","15","14","364.86","24.7","18","23.94","5.76","57.6","57.6","8.93","3","2","1","1","","2","11","9","2",
"818","산후조리업","01_01_04_P","3240000","PHMB120063240033042100001","2006-12-08","","01","영업/정상","13","영업중","","","","","02) 485-0087","","","서울특별시 강동구 성내동 378 웰빙메디컬빌딩","서울특별시 강동구 천호대로 1128, 웰빙메디컬빌딩 6~7층 (성내동)","05373","가율 산후조리원","2023-05-12 10:04:17","U","2023-05-14 02:40:00","","211997.374303563","447998.814231451","17","17","216.55","26.71","0","31.77","15.45","4.56","43.2","7.29","4","7","0","2","1","0","8","7","1",
"819","산후조리업","01_01_04_P","3240000","PHMB120063240033042100002","2006-10-17","","01","영업/정상","13","영업중","","","","","02) 485-2151","","134-864","서울특별시 강동구 천호3동 447번지 6호 정산타워빌딩 6층","서울특별시 강동구 천호대로 1099 (천호동)","05339","강동맘스 산후조리원(주)","2019-09-02 10:15:20","U","2019-09-04 02:40:00","","211785.062144309","448178.173808736","17","17","204.15","43","","43.11","7.52","9.63","48.75","5.22","4","7","","2","2","","8","7","1",
"820","산후조리업","01_01_04_P","3240000","PHMB120123240033042100001","2012-05-18","","01","영업/정상","13","영업중","","","","","02) 3428-3535","","","서울특별시 강동구 강일동 679번지 2호 MIDC빌딩","서울특별시 강동구 아리수로 421, MIDC빌딩 7,8층 (강일동)","05211","몽쉘베베산후조리원","2019-05-24 11:12:06","U","2019-05-26 02:40:00","","215311.087618287","451385.841389885","19","19","415","58","8.23","45.2","15","","18","9.24","3","8","","1","1","1","14","10","4",
